 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Pt2 O4
 Reduced formula:  PtO2
 space group: (Pn-3m), space number:  (224)
 abc:  4.483783   4.483783   4.483783
 angles: 90.000000  90.000000  90.000000
 sites: 6
 mp-20119
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.262 Rnm= 1.415 L3 shell
 Pot 1 Z= 8 Rmt= 0.968 Rnm= 1.088
 Pot 2 Z=78 Rmt= 1.267 Rnm= 1.427
 Gam_ch=5.171E+00 H-L exch
 Mu= 5.496E+00 kf=2.289E+00 Vint=-1.447E+01 Rs_int= 1.584
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    4      icalc       2
 -----------------------------------------------------------------------
   2   8.000   3.8831    2.3109    5.49615 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -2.2419    2.2419    2.2419  2  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.1450E+01  6.0153E-05 -9.8748E+00  1.068E+00  6.7607E+00  2.2939E+00
  0.100  1.1449E+01  3.1594E-02 -1.0635E+01  1.068E+00  6.7668E+00  2.2959E+00
  0.200  1.1447E+01  6.2987E-02 -1.1368E+01  1.068E+00  6.7849E+00  2.3022E+00
  0.300  1.1442E+01  9.3984E-02 -1.2071E+01  1.068E+00  6.8146E+00  2.3125E+00
  0.400  1.1435E+01  1.2439E-01 -1.2744E+01  1.068E+00  6.8550E+00  2.3269E+00
  0.500  1.1427E+01  1.5404E-01 -1.3389E+01  1.067E+00  6.9050E+00  2.3452E+00
  0.600  1.1417E+01  1.8274E-01 -1.4006E+01  1.067E+00  6.9630E+00  2.3675E+00
  0.700  1.1405E+01  2.1034E-01 -1.4594E+01  1.067E+00  7.0275E+00  2.3936E+00
  0.800  1.1391E+01  2.3668E-01 -1.5155E+01  1.067E+00  7.0965E+00  2.4234E+00
  0.900  1.1376E+01  2.6160E-01 -1.5688E+01  1.067E+00  7.1679E+00  2.4568E+00
  1.000  1.1359E+01  2.8493E-01 -1.6194E+01  1.067E+00  7.2395E+00  2.4938E+00
  1.100  1.1340E+01  3.0652E-01 -1.6673E+01  1.067E+00  7.3091E+00  2.5341E+00
  1.200  1.1320E+01  3.2619E-01 -1.7125E+01  1.067E+00  7.3746E+00  2.5777E+00
  1.300  1.1298E+01  3.4375E-01 -1.7551E+01  1.067E+00  7.4338E+00  2.6245E+00
  1.400  1.1275E+01  3.5900E-01 -1.7949E+01  1.067E+00  7.4851E+00  2.6744E+00
  1.500  1.1250E+01  3.7176E-01 -1.8321E+01  1.067E+00  7.5271E+00  2.7273E+00
  1.600  1.1224E+01  3.8183E-01 -1.8664E+01  1.068E+00  7.5588E+00  2.7832E+00
  1.700  1.1196E+01  3.8904E-01 -1.8979E+01  1.068E+00  7.5799E+00  2.8421E+00
  1.800  1.1167E+01  3.9327E-01 -1.9265E+01  1.069E+00  7.5907E+00  2.9038E+00
  1.900  1.1137E+01  3.9450E-01 -1.9519E+01  1.070E+00  7.5922E+00  2.9684E+00
