 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Fe4 S8
 Reduced formula:  FeS2
 space group: (Pa-3), space number:  (205)
 abc:  5.396824   5.396824   5.396824
 angles: 90.000000  90.000000  90.000000
 sites: 12
 mp-226
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.298 Rnm= 1.379 K  shell
 Pot 1 Z=26 Rmt= 1.302 Rnm= 1.388
 Pot 2 Z=16 Rmt= 1.274 Rnm= 1.379
 Gam_ch=1.309E+00 H-L exch
 Mu=-7.463E-01 kf=2.171E+00 Vint=-1.870E+01 Rs_int= 1.671
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   34      icalc       2
 -----------------------------------------------------------------------
   3  24.000   5.6601    2.6120   -0.74635 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
    -0.0000    2.6984    2.6984  1  26 Fe
    -0.6186   -2.0798    0.6186  2  16 S
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.2693E+00  6.7648E-06 -1.0861E+00  1.007E+00  2.5280E+01  2.1712E+00
  0.100  3.2689E+00  9.5566E-03 -2.1939E+00  1.007E+00  2.5305E+01  2.1734E+00
  0.200  3.2677E+00  1.8918E-02 -3.2510E+00  1.007E+00  2.5379E+01  2.1800E+00
  0.300  3.2657E+00  2.7892E-02 -4.2584E+00  1.007E+00  2.5494E+01  2.1910E+00
  0.400  3.2628E+00  3.6286E-02 -5.2168E+00  1.008E+00  2.5638E+01  2.2062E+00
  0.500  3.2588E+00  4.3914E-02 -6.1269E+00  1.008E+00  2.5794E+01  2.2257E+00
  0.600  3.2538E+00  5.0596E-02 -6.9896E+00  1.009E+00  2.5941E+01  2.2492E+00
  0.700  3.2476E+00  5.6156E-02 -7.8060E+00  1.009E+00  2.6057E+01  2.2768E+00
  0.800  3.2400E+00  6.0436E-02 -8.5774E+00  1.010E+00  2.6116E+01  2.3083E+00
  0.900  3.2309E+00  6.3294E-02 -9.3053E+00  1.011E+00  2.6094E+01  2.3435E+00
  1.000  3.2200E+00  6.4628E-02 -9.9912E+00  1.012E+00  2.5970E+01  2.3823E+00
  1.100  3.2073E+00  6.4373E-02 -1.0637E+01  1.013E+00  2.5727E+01  2.4246E+00
  1.200  3.1924E+00  6.2538E-02 -1.1245E+01  1.015E+00  2.5358E+01  2.4704E+00
  1.300  3.1753E+00  5.9207E-02 -1.1818E+01  1.017E+00  2.4862E+01  2.5195E+00
  1.400  3.1556E+00  5.4552E-02 -1.2358E+01  1.019E+00  2.4247E+01  2.5718E+00
  1.500  3.1332E+00  4.8823E-02 -1.2868E+01  1.022E+00  2.3531E+01  2.6272E+00
  1.600  3.1078E+00  4.2339E-02 -1.3353E+01  1.025E+00  2.2735E+01  2.6857E+00
  1.700  3.0792E+00  3.5460E-02 -1.3817E+01  1.028E+00  2.1888E+01  2.7473E+00
  1.800  3.0471E+00  2.8566E-02 -1.4270E+01  1.032E+00  2.1017E+01  2.8119E+00
  1.900  3.0113E+00  2.2044E-02 -1.4726E+01  1.036E+00  2.0152E+01  2.8795E+00
  2.000  2.9714E+00  1.6325E-02 -1.5211E+01  1.040E+00  1.9319E+01  2.9502E+00
  2.200  2.8783E+00  9.6302E-03 -1.6440E+01  1.049E+00  1.7845E+01  3.1010E+00
  2.400  2.7669E+00  1.1254E-02 -1.7501E+01  1.057E+00  1.6763E+01  3.2660E+00
  2.600  2.5959E+00  1.3537E-02 -1.7767E+01  1.090E+00  1.2469E+01  3.4583E+00
  2.800  2.5095E+00  1.8504E-02 -1.8255E+01  1.200E+00  7.8224E+00  3.6132E+00
  3.000  2.4783E+00  2.4606E-02 -1.8811E+01  1.238E+00  6.7448E+00  3.7446E+00
  3.200  2.4237E+00  3.3145E-02 -1.9268E+01  1.253E+00  6.2177E+00  3.8854E+00
  3.400  2.3570E+00  4.3863E-02 -1.9708E+01  1.256E+00  5.9653E+00  4.0328E+00
  3.600  2.2812E+00  5.5295E-02 -2.0125E+01  1.247E+00  5.8609E+00  4.1854E+00
  3.800  2.1997E+00  6.5959E-02 -2.0528E+01  1.237E+00  5.8479E+00  4.3429E+00
  4.000  2.1145E+00  7.5664E-02 -2.0917E+01  1.219E+00  5.8973E+00  4.5046E+00
  4.200  2.0265E+00  8.4090E-02 -2.1285E+01  1.203E+00  5.9920E+00  4.6701E+00
  4.400  1.9375E+00  9.1077E-02 -2.1631E+01  1.187E+00  6.1215E+00  4.8390E+00
  4.600  1.8484E+00  9.6870E-02 -2.1959E+01  1.169E+00  6.2790E+00  5.0109E+00
  4.800  1.7584E+00  1.0129E-01 -2.2264E+01  1.153E+00  6.4595E+00  5.1855E+00
  5.000  1.6687E+00  1.0440E-01 -2.2553E+01  1.138E+00  6.6596E+00  5.3625E+00
  5.200  1.5793E+00  1.0653E-01 -2.2830E+01  1.125E+00  6.8767E+00  5.5416E+00
  5.400  1.4895E+00  1.0756E-01 -2.3090E+01  1.112E+00  7.1089E+00  5.7226E+00
  5.600  1.3998E+00  1.0742E-01 -2.3337E+01  1.101E+00  7.3545E+00  5.9053E+00
