 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Fe4 S8
 Reduced formula:  FeS2
 space group: (Pa-3), space number:  (205)
 abc:  5.396824   5.396824   5.396824
 angles: 90.000000  90.000000  90.000000
 sites: 12
 mp-226
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.298 Rnm= 1.379 K  shell
 Pot 1 Z=26 Rmt= 1.302 Rnm= 1.388
 Pot 2 Z=16 Rmt= 1.274 Rnm= 1.379
 Gam_ch=1.309E+00 H-L exch
 Mu=-7.463E-01 kf=2.171E+00 Vint=-1.870E+01 Rs_int= 1.671
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    9      icalc       2
 -----------------------------------------------------------------------
   3  12.000   4.3777    2.6120   -0.74635 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
     0.6186   -3.3170   -0.6186  2  16 S
     2.0798   -0.6186   -0.6186  2  16 S
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.2693E+00  6.6911E-06 -6.0706E-01  1.007E+00  2.5280E+01  2.1712E+00
  0.100  3.2689E+00  9.4273E-03 -1.4664E+00  1.007E+00  2.5305E+01  2.1734E+00
  0.200  3.2677E+00  1.8513E-02 -2.2916E+00  1.007E+00  2.5379E+01  2.1800E+00
  0.300  3.2657E+00  2.6926E-02 -3.0830E+00  1.007E+00  2.5494E+01  2.1910E+00
  0.400  3.2628E+00  3.4355E-02 -3.8405E+00  1.008E+00  2.5638E+01  2.2062E+00
  0.500  3.2588E+00  4.0506E-02 -4.5635E+00  1.008E+00  2.5794E+01  2.2257E+00
  0.600  3.2538E+00  4.5095E-02 -5.2515E+00  1.009E+00  2.5941E+01  2.2492E+00
  0.700  3.2476E+00  4.7830E-02 -5.9034E+00  1.009E+00  2.6057E+01  2.2768E+00
  0.800  3.2400E+00  4.8400E-02 -6.5180E+00  1.010E+00  2.6116E+01  2.3083E+00
  0.900  3.2309E+00  4.6472E-02 -7.0936E+00  1.011E+00  2.6094E+01  2.3435E+00
  1.000  3.2200E+00  4.1719E-02 -7.6277E+00  1.012E+00  2.5970E+01  2.3823E+00
  1.100  3.2073E+00  3.3864E-02 -8.1150E+00  1.013E+00  2.5727E+01  2.4246E+00
  1.200  3.1924E+00  2.2812E-02 -8.5367E+00  1.015E+00  2.5358E+01  2.4704E+00
  1.300  3.1753E+00  8.9505E-03 -8.7345E+00  1.017E+00  2.4862E+01  2.5195E+00
  1.400  3.1556E+00  9.3303E-03 -6.7531E+00  1.019E+00  2.4247E+01  2.5718E+00
  1.500  3.1332E+00  2.7863E-02 -6.8779E+00  1.022E+00  2.3531E+01  2.6272E+00
  1.600  3.1078E+00  4.7704E-02 -7.1734E+00  1.025E+00  2.2735E+01  2.6857E+00
  1.700  3.0792E+00  6.7425E-02 -7.4738E+00  1.028E+00  2.1888E+01  2.7473E+00
  1.800  3.0471E+00  8.5874E-02 -7.7616E+00  1.032E+00  2.1017E+01  2.8119E+00
  1.900  3.0113E+00  1.0208E-01 -8.0331E+00  1.036E+00  2.0152E+01  2.8795E+00
  2.000  2.9714E+00  1.1534E-01 -8.2873E+00  1.040E+00  1.9319E+01  2.9502E+00
  2.200  2.8783E+00  1.3148E-01 -8.7424E+00  1.049E+00  1.7845E+01  3.1010E+00
  2.400  2.7669E+00  1.3348E-01 -9.1180E+00  1.057E+00  1.6763E+01  3.2660E+00
  2.600  2.5959E+00  1.3035E-01 -9.3850E+00  1.090E+00  1.2469E+01  3.4583E+00
  2.800  2.5095E+00  1.3605E-01 -9.8553E+00  1.200E+00  7.8224E+00  3.6132E+00
  3.000  2.4783E+00  1.2485E-01 -1.0462E+01  1.238E+00  6.7448E+00  3.7446E+00
  3.200  2.4237E+00  1.0940E-01 -1.1023E+01  1.253E+00  6.2177E+00  3.8854E+00
  3.400  2.3570E+00  9.2997E-02 -1.1548E+01  1.256E+00  5.9653E+00  4.0328E+00
  3.600  2.2812E+00  7.7219E-02 -1.2034E+01  1.247E+00  5.8609E+00  4.1854E+00
  3.800  2.1997E+00  6.2056E-02 -1.2482E+01  1.237E+00  5.8479E+00  4.3429E+00
  4.000  2.1145E+00  4.8850E-02 -1.2896E+01  1.219E+00  5.8973E+00  4.5046E+00
  4.200  2.0265E+00  3.7722E-02 -1.3269E+01  1.203E+00  5.9920E+00  4.6701E+00
  4.400  1.9375E+00  2.8370E-02 -1.3587E+01  1.187E+00  6.1215E+00  4.8390E+00
  4.600  1.8484E+00  2.0730E-02 -1.3832E+01  1.169E+00  6.2790E+00  5.0109E+00
  4.800  1.7584E+00  1.5043E-02 -1.3975E+01  1.153E+00  6.4595E+00  5.1855E+00
  5.000  1.6687E+00  1.0976E-02 -1.4005E+01  1.138E+00  6.6596E+00  5.3625E+00
  5.200  1.5793E+00  9.0746E-03 -1.3948E+01  1.125E+00  6.8767E+00  5.5416E+00
  5.400  1.4895E+00  8.6146E-03 -1.3913E+01  1.112E+00  7.1089E+00  5.7226E+00
  5.600  1.3998E+00  8.6129E-03 -1.3953E+01  1.101E+00  7.3545E+00  5.9053E+00
