 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Fe2
 Reduced formula:  Fe
 space group: (Im-3m), space number:  (229)
 abc:  2.477813   2.477809   4.054295
 angles: 90.000038  90.000320 109.469837
 sites: 2
 mp-13
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.346 Rnm= 1.393 K  shell
 Pot 1 Z=26 Rmt= 1.354 Rnm= 1.403
 Gam_ch=1.309E+00 H-L exch
 Mu=-1.199E+01 kf=2.042E+00 Vint=-2.788E+01 Rs_int= 1.776
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   28      icalc       2
 -----------------------------------------------------------------------
   4   4.000   4.9556    2.6511  -11.98877 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
    -2.3362   -0.0001    0.8258  1  26 Fe
    -4.6723   -0.0002    1.6517  1  26 Fe
    -2.3362   -0.0001    0.8258  1  26 Fe
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.0297E+00  7.2172E-05 -1.0646E-02  1.009E+00  2.3783E+01  2.0426E+00
  0.100  3.0292E+00  2.9664E-02 -9.8547E-01  1.009E+00  2.3810E+01  2.0450E+00
  0.200  3.0278E+00  5.7957E-02 -1.9208E+00  1.009E+00  2.3888E+01  2.0520E+00
  0.300  3.0253E+00  8.3721E-02 -2.8196E+00  1.009E+00  2.4010E+01  2.0636E+00
  0.400  3.0219E+00  1.0617E-01 -3.6827E+00  1.009E+00  2.4162E+01  2.0798E+00
  0.500  3.0174E+00  1.2488E-01 -4.5113E+00  1.009E+00  2.4325E+01  2.1005E+00
  0.600  3.0119E+00  1.3986E-01 -5.3062E+00  1.009E+00  2.4477E+01  2.1255E+00
  0.700  3.0051E+00  1.5135E-01 -6.0684E+00  1.010E+00  2.4592E+01  2.1547E+00
  0.800  2.9971E+00  1.5978E-01 -6.7985E+00  1.010E+00  2.4646E+01  2.1880E+00
  0.900  2.9878E+00  1.6559E-01 -7.4972E+00  1.011E+00  2.4611E+01  2.2251E+00
  1.000  2.9770E+00  1.6922E-01 -8.1647E+00  1.012E+00  2.4468E+01  2.2661E+00
  1.100  2.9646E+00  1.7101E-01 -8.8015E+00  1.013E+00  2.4201E+01  2.3108E+00
  1.200  2.9505E+00  1.7124E-01 -9.4075E+00  1.015E+00  2.3806E+01  2.3590E+00
  1.300  2.9344E+00  1.7000E-01 -9.9825E+00  1.017E+00  2.3284E+01  2.4106E+00
  1.400  2.9162E+00  1.6753E-01 -1.0527E+01  1.019E+00  2.2650E+01  2.4656E+00
  1.500  2.8955E+00  1.6382E-01 -1.1039E+01  1.022E+00  2.1924E+01  2.5239E+00
  1.600  2.8721E+00  1.5887E-01 -1.1519E+01  1.025E+00  2.1133E+01  2.5854E+00
  1.700  2.8458E+00  1.5268E-01 -1.1965E+01  1.028E+00  2.0308E+01  2.6502E+00
  1.800  2.8160E+00  1.4525E-01 -1.2373E+01  1.032E+00  1.9479E+01  2.7182E+00
  1.900  2.7824E+00  1.3667E-01 -1.2740E+01  1.036E+00  1.8675E+01  2.7895E+00
