 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Eu1 Ti1 O3
 Reduced formula:  EuTiO3
 space group: (Pm-3m), space number:  (221)
 abc:  3.903878   3.903887   3.903878
 angles: 90.000000  90.000000  90.000000
 sites: 5
 mp-22246
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=22 Rmt= 1.248 Rnm= 1.365 K  shell
 Pot 1 Z=63 Rmt= 1.790 Rnm= 1.818
 Pot 2 Z= 8 Rmt= 1.038 Rnm= 1.091
 Gam_ch=9.030E-01 H-L exch
 Mu=-5.871E+00 kf=1.993E+00 Vint=-2.101E+01 Rs_int= 1.819
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   14      icalc       2
 -----------------------------------------------------------------------
   3  48.000   5.0570    2.5561   -5.87105 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  22 Ti       absorbing atom
    -1.9519    1.9519   -1.9519  1  63 Eu
    -0.0000   -1.9519   -0.0000  2   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  2.6009E+00  2.8300E-05 -4.9257E-01  1.014E+00  3.3646E+01  1.9936E+00
  0.100  2.5998E+00  2.7409E-02 -1.4777E+00  1.014E+00  3.3686E+01  1.9960E+00
  0.200  2.5966E+00  5.4296E-02 -2.4072E+00  1.013E+00  3.3801E+01  2.0032E+00
  0.300  2.5911E+00  8.0123E-02 -3.2828E+00  1.013E+00  3.3972E+01  2.0151E+00
  0.400  2.5836E+00  1.0433E-01 -4.1054E+00  1.013E+00  3.4172E+01  2.0317E+00
  0.500  2.5739E+00  1.2636E-01 -4.8765E+00  1.013E+00  3.4361E+01  2.0529E+00
  0.600  2.5622E+00  1.4565E-01 -5.5980E+00  1.014E+00  3.4492E+01  2.0785E+00
  0.700  2.5484E+00  1.6179E-01 -6.2726E+00  1.014E+00  3.4516E+01  2.1083E+00
  0.800  2.5326E+00  1.7448E-01 -6.9030E+00  1.014E+00  3.4382E+01  2.1423E+00
  0.900  2.5149E+00  1.8372E-01 -7.4927E+00  1.015E+00  3.4048E+01  2.1804E+00
  1.000  2.4951E+00  1.8970E-01 -8.0449E+00  1.016E+00  3.3486E+01  2.2222E+00
  1.100  2.4732E+00  1.9286E-01 -8.5624E+00  1.017E+00  3.2687E+01  2.2678E+00
  1.200  2.4493E+00  1.9370E-01 -9.0480E+00  1.019E+00  3.1662E+01  2.3170E+00
  1.300  2.4231E+00  1.9277E-01 -9.5036E+00  1.021E+00  3.0444E+01  2.3697E+00
  1.400  2.3945E+00  1.9049E-01 -9.9306E+00  1.023E+00  2.9080E+01  2.4258E+00
  1.500  2.3633E+00  1.8717E-01 -1.0330E+01  1.026E+00  2.7626E+01  2.4853E+00
  1.600  2.3293E+00  1.8292E-01 -1.0701E+01  1.030E+00  2.6138E+01  2.5481E+00
  1.700  2.2921E+00  1.7772E-01 -1.1043E+01  1.033E+00  2.4672E+01  2.6141E+00
  1.800  2.2514E+00  1.7141E-01 -1.1354E+01  1.038E+00  2.3274E+01  2.6836E+00
  1.900  2.2067E+00  1.6377E-01 -1.1631E+01  1.042E+00  2.1984E+01  2.7563E+00
  2.000  2.1575E+00  1.5397E-01 -1.1864E+01  1.046E+00  2.0833E+01  2.8326E+00
  2.200  2.0432E+00  1.2349E-01 -1.2259E+01  1.054E+00  1.9046E+01  2.9961E+00
  2.400  1.8652E+00  1.0029E-01 -1.2488E+01  1.070E+00  1.6718E+01  3.1898E+00
  2.600  1.8014E+00  1.0676E-01 -1.2813E+01  1.244E+00  8.2523E+00  3.3529E+00
  2.800  1.8006E+00  9.4844E-02 -1.3134E+01  1.259E+00  6.9570E+00  3.4838E+00
  3.000  1.7502E+00  8.9744E-02 -1.3334E+01  1.267E+00  6.3517E+00  3.6237E+00
  3.200  1.6818E+00  9.1508E-02 -1.3571E+01  1.263E+00  6.0746E+00  3.7709E+00
  3.400  1.6026E+00  9.6006E-02 -1.3934E+01  1.253E+00  5.9670E+00  3.9238E+00
  3.600  1.5155E+00  1.0112E-01 -1.4390E+01  1.238E+00  5.9622E+00  4.0818E+00
  3.800  1.4221E+00  1.0779E-01 -1.4869E+01  1.221E+00  6.0263E+00  4.2444E+00
  4.000  1.3249E+00  1.1468E-01 -1.5310E+01  1.204E+00  6.1403E+00  4.4109E+00
  4.200  1.2255E+00  1.1828E-01 -1.5693E+01  1.184E+00  6.2926E+00  4.5810E+00
  4.400  1.1250E+00  1.1694E-01 -1.6026E+01  1.166E+00  6.4755E+00  4.7542E+00
  4.600  1.0247E+00  1.1144E-01 -1.6318E+01  1.147E+00  6.6837E+00  4.9302E+00
  4.800  9.2542E-01  1.0368E-01 -1.6582E+01  1.129E+00  6.9134E+00  5.1086E+00
  5.000  8.2748E-01  9.5778E-02 -1.6822E+01  1.113E+00  7.1620E+00  5.2891E+00
  5.200  7.3141E-01  8.8877E-02 -1.7043E+01  1.098E+00  7.4272E+00  5.4715E+00
  5.400  6.3727E-01  8.3102E-02 -1.7246E+01  1.084E+00  7.7075E+00  5.6555E+00
  5.600  5.4496E-01  7.7840E-02 -1.7436E+01  1.072E+00  8.0015E+00  5.8411E+00
  5.800  4.5422E-01  7.2578E-02 -1.7615E+01  1.061E+00  8.3081E+00  6.0279E+00
