 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Eu1 Ti1 O3
 Reduced formula:  EuTiO3
 space group: (Pm-3m), space number:  (221)
 abc:  3.903878   3.903887   3.903878
 angles: 90.000000  90.000000  90.000000
 sites: 5
 mp-22246
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=22 Rmt= 1.248 Rnm= 1.365 K  shell
 Pot 1 Z=63 Rmt= 1.790 Rnm= 1.818
 Pot 2 Z= 8 Rmt= 1.038 Rnm= 1.091
 Gam_ch=9.030E-01 H-L exch
 Mu=-5.871E+00 kf=1.993E+00 Vint=-2.101E+01 Rs_int= 1.819
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    4      icalc       2
 -----------------------------------------------------------------------
   3   6.000   3.9039    2.5561   -5.87105 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  22 Ti       absorbing atom
    -0.0000   -0.0000    1.9519  2   8 O
    -0.0000   -0.0000   -1.9519  2   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  2.6009E+00  6.3664E-05 -5.6695E+00  1.014E+00  3.3646E+01  1.9936E+00
  0.100  2.5998E+00  6.1708E-02 -6.4348E+00  1.014E+00  3.3686E+01  1.9960E+00
  0.200  2.5966E+00  1.2255E-01 -7.1668E+00  1.013E+00  3.3801E+01  2.0032E+00
  0.300  2.5911E+00  1.8172E-01 -7.8666E+00  1.013E+00  3.3972E+01  2.0151E+00
  0.400  2.5836E+00  2.3852E-01 -8.5346E+00  1.013E+00  3.4172E+01  2.0317E+00
  0.500  2.5739E+00  2.9237E-01 -9.1714E+00  1.013E+00  3.4361E+01  2.0529E+00
  0.600  2.5622E+00  3.4289E-01 -9.7776E+00  1.014E+00  3.4492E+01  2.0785E+00
  0.700  2.5484E+00  3.8983E-01 -1.0354E+01  1.014E+00  3.4516E+01  2.1083E+00
  0.800  2.5326E+00  4.3308E-01 -1.0901E+01  1.014E+00  3.4382E+01  2.1423E+00
  0.900  2.5149E+00  4.7265E-01 -1.1420E+01  1.015E+00  3.4048E+01  2.1804E+00
  1.000  2.4951E+00  5.0866E-01 -1.1911E+01  1.016E+00  3.3486E+01  2.2222E+00
  1.100  2.4732E+00  5.4119E-01 -1.2376E+01  1.017E+00  3.2687E+01  2.2678E+00
  1.200  2.4493E+00  5.7054E-01 -1.2813E+01  1.019E+00  3.1662E+01  2.3170E+00
  1.300  2.4231E+00  5.9683E-01 -1.3225E+01  1.021E+00  3.0444E+01  2.3697E+00
  1.400  2.3945E+00  6.2020E-01 -1.3612E+01  1.023E+00  2.9080E+01  2.4258E+00
  1.500  2.3633E+00  6.4076E-01 -1.3973E+01  1.026E+00  2.7626E+01  2.4853E+00
  1.600  2.3293E+00  6.5854E-01 -1.4309E+01  1.030E+00  2.6138E+01  2.5481E+00
  1.700  2.2921E+00  6.7347E-01 -1.4620E+01  1.033E+00  2.4672E+01  2.6141E+00
  1.800  2.2514E+00  6.8539E-01 -1.4906E+01  1.038E+00  2.3274E+01  2.6836E+00
  1.900  2.2067E+00  6.9405E-01 -1.5167E+01  1.042E+00  2.1984E+01  2.7563E+00
  2.000  2.1575E+00  6.9904E-01 -1.5403E+01  1.046E+00  2.0833E+01  2.8326E+00
  2.200  2.0432E+00  6.9597E-01 -1.5797E+01  1.054E+00  1.9046E+01  2.9961E+00
  2.400  1.8652E+00  6.7332E-01 -1.6035E+01  1.070E+00  1.6718E+01  3.1898E+00
  2.600  1.8014E+00  8.2225E-01 -1.6412E+01  1.244E+00  8.2523E+00  3.3529E+00
  2.800  1.8006E+00  8.6555E-01 -1.6852E+01  1.259E+00  6.9570E+00  3.4838E+00
  3.000  1.7502E+00  8.6233E-01 -1.7236E+01  1.267E+00  6.3517E+00  3.6237E+00
  3.200  1.6818E+00  8.1573E-01 -1.7576E+01  1.263E+00  6.0746E+00  3.7709E+00
  3.400  1.6026E+00  7.4886E-01 -1.7886E+01  1.253E+00  5.9670E+00  3.9238E+00
  3.600  1.5155E+00  6.6880E-01 -1.8170E+01  1.238E+00  5.9622E+00  4.0818E+00
  3.800  1.4221E+00  5.8471E-01 -1.8438E+01  1.221E+00  6.0263E+00  4.2444E+00
  4.000  1.3249E+00  5.0421E-01 -1.8693E+01  1.204E+00  6.1403E+00  4.4109E+00
  4.200  1.2255E+00  4.2939E-01 -1.8939E+01  1.184E+00  6.2926E+00  4.5810E+00
  4.400  1.1250E+00  3.6363E-01 -1.9177E+01  1.166E+00  6.4755E+00  4.7542E+00
  4.600  1.0247E+00  3.0722E-01 -1.9407E+01  1.147E+00  6.6837E+00  4.9302E+00
  4.800  9.2542E-01  2.5873E-01 -1.9630E+01  1.129E+00  6.9134E+00  5.1086E+00
  5.000  8.2748E-01  2.1818E-01 -1.9844E+01  1.113E+00  7.1620E+00  5.2891E+00
  5.200  7.3141E-01  1.8432E-01 -2.0050E+01  1.098E+00  7.4272E+00  5.4715E+00
  5.400  6.3727E-01  1.5589E-01 -2.0246E+01  1.084E+00  7.7075E+00  5.6555E+00
  5.600  5.4496E-01  1.3195E-01 -2.0435E+01  1.072E+00  8.0015E+00  5.8411E+00
  5.800  4.5422E-01  1.1189E-01 -2.0618E+01  1.061E+00  8.3081E+00  6.0279E+00
