 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  Pt2
 Reduced formula:  Pt
 space group: (P6_3/mmc), space number:  (194)
 abc:  2.760666   2.760665   4.792134
 angles: 90.000000  90.000000 120.000009
 sites: 2
 mp-2647022
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.481 Rnm= 1.520 L3 shell
 Pot 1 Z=78 Rmt= 1.495 Rnm= 1.537
 Gam_ch=5.171E+00 H-L exch
 Mu=-1.529E-01 kf=1.999E+00 Vint=-1.538E+01 Rs_int= 1.814
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    7      icalc       2
 -----------------------------------------------------------------------
   2   6.000   4.7816    2.9035   -0.15286 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -0.0000   -4.7816   -0.0000  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.1550E+01  1.0625E-05 -8.7173E+00  1.054E+00  5.9127E+00  2.0062E+00
  0.100  1.1549E+01  4.9757E-02 -9.6513E+00  1.054E+00  5.9197E+00  2.0085E+00
  0.200  1.1547E+01  9.9040E-02 -1.0541E+01  1.055E+00  5.9404E+00  2.0156E+00
  0.300  1.1543E+01  1.4739E-01 -1.1388E+01  1.056E+00  5.9742E+00  2.0274E+00
  0.400  1.1537E+01  1.9439E-01 -1.2192E+01  1.057E+00  6.0201E+00  2.0438E+00
  0.500  1.1529E+01  2.3968E-01 -1.2954E+01  1.058E+00  6.0765E+00  2.0647E+00
  0.600  1.1520E+01  2.8293E-01 -1.3676E+01  1.059E+00  6.1418E+00  2.0900E+00
  0.700  1.1509E+01  3.2389E-01 -1.4359E+01  1.061E+00  6.2137E+00  2.1196E+00
  0.800  1.1495E+01  3.6235E-01 -1.5004E+01  1.062E+00  6.2900E+00  2.1533E+00
  0.900  1.1480E+01  3.9814E-01 -1.5613E+01  1.064E+00  6.3681E+00  2.1910E+00
  1.000  1.1463E+01  4.3113E-01 -1.6186E+01  1.065E+00  6.4455E+00  2.2325E+00
  1.100  1.1445E+01  4.6119E-01 -1.6724E+01  1.067E+00  6.5197E+00  2.2777E+00
  1.200  1.1424E+01  4.8817E-01 -1.7229E+01  1.068E+00  6.5883E+00  2.3266E+00
  1.300  1.1401E+01  5.1194E-01 -1.7700E+01  1.070E+00  6.6494E+00  2.3789E+00
  1.400  1.1376E+01  5.3232E-01 -1.8138E+01  1.071E+00  6.7013E+00  2.4347E+00
  1.500  1.1349E+01  5.4912E-01 -1.8543E+01  1.073E+00  6.7432E+00  2.4939E+00
  1.600  1.1321E+01  5.6210E-01 -1.8913E+01  1.074E+00  6.7750E+00  2.5563E+00
  1.700  1.1290E+01  5.7104E-01 -1.9249E+01  1.076E+00  6.7973E+00  2.6221E+00
  1.800  1.1257E+01  5.7571E-01 -1.9549E+01  1.078E+00  6.8120E+00  2.6912E+00
  1.900  1.1223E+01  5.7594E-01 -1.9811E+01  1.079E+00  6.8219E+00  2.7636E+00
  2.000  1.1186E+01  5.7166E-01 -2.0034E+01  1.081E+00  6.8310E+00  2.8396E+00
  2.200  1.1107E+01  5.4983E-01 -2.0350E+01  1.084E+00  6.8695E+00  3.0023E+00
  2.400  1.0981E+01  4.9091E-01 -2.0373E+01  1.060E+00  6.9384E+00  3.1948E+00
  2.600  1.0903E+01  5.2263E-01 -2.0624E+01  1.192E+00  4.9172E+00  3.3608E+00
  2.800  1.0902E+01  5.2371E-01 -2.1036E+01  1.224E+00  4.4823E+00  3.4922E+00
  3.000  1.0889E+01  5.2491E-01 -2.1346E+01  1.244E+00  4.2747E+00  3.6316E+00
  3.200  1.0865E+01  5.2482E-01 -2.1594E+01  1.248E+00  4.1966E+00  3.7784E+00
  3.400  1.0834E+01  5.2240E-01 -2.1813E+01  1.246E+00  4.1926E+00  3.9309E+00
  3.600  1.0796E+01  5.1502E-01 -2.2024E+01  1.240E+00  4.2369E+00  4.0884E+00
  3.800  1.0750E+01  4.9217E-01 -2.2228E+01  1.229E+00  4.3157E+00  4.2505E+00
  4.000  1.0698E+01  4.6104E-01 -2.2432E+01  1.218E+00  4.4204E+00  4.4166E+00
  4.200  1.0639E+01  4.1476E-01 -2.2633E+01  1.204E+00  4.5455E+00  4.5863E+00
  4.400  1.0574E+01  3.6296E-01 -2.2836E+01  1.190E+00  4.6874E+00  4.7591E+00
  4.600  1.0503E+01  3.0575E-01 -2.3048E+01  1.176E+00  4.8433E+00  4.9347E+00
  4.800  1.0429E+01  2.4787E-01 -2.3287E+01  1.162E+00  5.0112E+00  5.1128E+00
  5.000  1.0352E+01  1.9155E-01 -2.3579E+01  1.148E+00  5.1897E+00  5.2930E+00
  5.200  1.0272E+01  1.4716E-01 -2.3994E+01  1.136E+00  5.3775E+00  5.4751E+00
  5.400  1.0192E+01  1.2350E-01 -2.4580E+01  1.123E+00  5.5736E+00  5.6589E+00
  5.600  1.0110E+01  1.3557E-01 -2.5184E+01  1.111E+00  5.7773E+00  5.8442E+00
