 comment: None given                            Feff8L (EXAFS)       0.1
 Source:
 Structure Summary:  U1 O2
 Reduced formula:  UO2
 space group: (Fm-3m), space number:  (225)
 abc:  3.856567   3.856567   3.856567
 angles: 60.000000  60.000000  60.000000
 sites: 3
 mp-1597
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=92 Rmt= 1.626 Rnm= 1.706 L3 shell
 Pot 1 Z= 8 Rmt= 1.042 Rnm= 1.093
 Gam_ch=8.104E+00 H-L exch
 Mu=-4.652E+00 kf=2.032E+00 Vint=-2.038E+01 Rs_int= 1.785
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   3  24.000   4.2899    2.0759   -4.65224 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
    -1.3635    1.3635   -1.3635  1   8 O
     1.3635   -1.3635   -1.3635  1   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.4440E+01  4.9574E-05 -1.5487E+01  5.378E-01  3.8521E+00  2.0484E+00
  0.100  1.4445E+01  2.2179E-02 -1.6333E+01  5.399E-01  3.8564E+00  2.0507E+00
  0.200  1.4462E+01  4.3895E-02 -1.7148E+01  5.462E-01  3.8693E+00  2.0576E+00
  0.300  1.4489E+01  6.4714E-02 -1.7933E+01  5.567E-01  3.8905E+00  2.0690E+00
  0.400  1.4524E+01  8.4269E-02 -1.8689E+01  5.716E-01  3.9194E+00  2.0850E+00
  0.500  1.4567E+01  1.0227E-01 -1.9413E+01  5.910E-01  3.9556E+00  2.1053E+00
  0.600  1.4614E+01  1.1853E-01 -2.0105E+01  6.147E-01  3.9982E+00  2.1299E+00
  0.700  1.4663E+01  1.3295E-01 -2.0763E+01  6.425E-01  4.0463E+00  2.1587E+00
  0.800  1.4713E+01  1.4551E-01 -2.1389E+01  6.741E-01  4.0988E+00  2.1916E+00
  0.900  1.4761E+01  1.5624E-01 -2.1980E+01  7.089E-01  4.1548E+00  2.2284E+00
  1.000  1.4806E+01  1.6523E-01 -2.2537E+01  7.461E-01  4.2129E+00  2.2689E+00
  1.100  1.4847E+01  1.7259E-01 -2.3062E+01  7.849E-01  4.2722E+00  2.3132E+00
  1.200  1.4882E+01  1.7844E-01 -2.3553E+01  8.243E-01  4.3313E+00  2.3610E+00
  1.300  1.4909E+01  1.8289E-01 -2.4014E+01  8.636E-01  4.3893E+00  2.4124E+00
  1.400  1.4930E+01  1.8606E-01 -2.4443E+01  9.018E-01  4.4454E+00  2.4671E+00
  1.500  1.4942E+01  1.8804E-01 -2.4844E+01  9.385E-01  4.4987E+00  2.5251E+00
  1.600  1.4946E+01  1.8894E-01 -2.5215E+01  9.729E-01  4.5490E+00  2.5864E+00
  1.700  1.4941E+01  1.8880E-01 -2.5559E+01  1.005E+00  4.5961E+00  2.6510E+00
  1.800  1.4928E+01  1.8770E-01 -2.5876E+01  1.034E+00  4.6404E+00  2.7189E+00
  1.900  1.4905E+01  1.8565E-01 -2.6165E+01  1.059E+00  4.6830E+00  2.7901E+00
  2.000  1.4873E+01  1.8268E-01 -2.6429E+01  1.082E+00  4.7252E+00  2.8646E+00
  2.200  1.4783E+01  1.7389E-01 -2.6879E+01  1.115E+00  4.8183E+00  3.0243E+00
  2.400  1.4627E+01  1.5939E-01 -2.7169E+01  1.130E+00  4.9576E+00  3.2109E+00
